#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 161000      2.68e+00    5.79e+00      5.59e-02    6.39e-02      9.81e-02    2.12e-01    7.4e-04
 162000      4.44e+00    5.71e+00      8.03e-02    1.02e-01      1.63e-01    2.09e-01    7.4e-04
 163000      6.12e+00    3.51e+00      1.50e-01    2.87e-02      2.24e-01    1.29e-01    7.4e-04
 164000      7.18e+00    1.44e+00      1.15e-01    2.36e-02      2.63e-01    5.25e-02    7.4e-04
 165000      5.86e+00    6.25e+00      4.80e-02    4.31e-02      2.16e-01    2.30e-01    7.4e-04
 166000      2.37e+00    7.58e+00      1.20e-02    8.02e-02      8.75e-02    2.79e-01    7.4e-04
 167000      3.82e+00    3.56e+00      3.74e-02    5.45e-02      1.41e-01    1.31e-01    7.4e-04
 168000      6.71e+00    2.65e+00      1.78e-01    1.28e-02      2.47e-01    9.78e-02    7.4e-04
 169000      6.30e+00    5.31e+00      1.75e-01    3.80e-01      2.32e-01    1.95e-01    7.4e-04
 170000      3.08e+00    2.44e+00      2.42e-02    8.44e-02      1.14e-01    9.01e-02    7.3e-04
 171000      3.56e+00    2.09e+00      8.52e-02    5.36e-02      1.32e-01    7.68e-02    7.3e-04
 172000      2.54e+00    1.88e+00      3.18e-02    1.42e-02      9.41e-02    6.94e-02    7.3e-04
 173000      2.24e+00    2.05e+00      3.00e-02    2.50e-02      8.28e-02    7.57e-02    7.3e-04
 174000      4.84e+00    2.87e+00      1.00e-01    2.05e-02      1.79e-01    1.06e-01    7.3e-04
 175000      3.19e+00    3.41e+00      8.82e-02    4.88e-02      1.18e-01    1.26e-01    7.2e-04
 176000      5.24e+00    4.95e+00      6.99e-02    6.05e-02      1.95e-01    1.84e-01    7.2e-04
 177000      7.87e+00    5.73e+00      3.73e-02    4.62e-02      2.93e-01    2.13e-01    7.2e-04
 178000      5.56e+00    1.41e+00      7.24e-02    4.18e-02      2.07e-01    5.21e-02    7.2e-04
 179000      2.94e+00    2.03e+00      2.96e-02    4.45e-02      1.09e-01    7.52e-02    7.2e-04
 180000      3.40e+00    4.54e+00      4.68e-02    1.68e-02      1.26e-01    1.70e-01    7.2e-04
 181000      2.94e+00    5.51e+00      7.00e-02    1.05e-01      1.09e-01    2.06e-01    7.2e-04
 182000      2.32e+00    1.41e+00      1.81e-02    1.38e-02      8.68e-02    5.26e-02    7.2e-04
 183000      3.79e+00    1.92e+00      8.45e-02    1.46e-02      1.41e-01    7.18e-02    7.2e-04
 184000      3.54e+00    9.88e-01      6.32e-02    2.64e-02      1.32e-01    3.67e-02    7.2e-04
 185000      3.05e+00    6.99e+00      8.81e-03    1.71e-01      1.15e-01    2.62e-01    7.1e-04
 186000      1.89e+00    6.46e+00      4.01e-02    1.26e-01      7.05e-02    2.42e-01    7.1e-04
 187000      1.98e+00    1.09e+01      6.32e-02    1.48e-01      7.39e-02    4.10e-01    7.1e-04
 188000      5.31e+00    1.02e+00      7.23e-02    2.44e-02      1.99e-01    3.83e-02    7.1e-04
 189000      5.76e+00    3.98e+00      6.69e-02    4.22e-02      2.16e-01    1.49e-01    7.1e-04
 190000      3.20e+00    2.43e+00      4.21e-02    4.08e-03      1.20e-01    9.16e-02    7.0e-04
 191000      4.53e+00    1.16e+00      8.43e-02    2.13e-02      1.71e-01    4.36e-02    7.0e-04
 192000      1.81e+00    5.89e+00      2.22e-02    1.10e-01      6.82e-02    2.22e-01    7.0e-04
 193000      2.54e+00    7.23e+00      3.79e-02    3.66e-02      9.57e-02    2.73e-01    7.0e-04
 194000      2.86e+00    5.16e+00      3.24e-02    6.95e-02      1.08e-01    1.95e-01    7.0e-04
 195000      4.77e+00    9.58e+00      4.01e-02    1.13e-01      1.81e-01    3.63e-01    7.0e-04
 196000      3.33e+00    1.64e+00      3.37e-02    1.79e-02      1.26e-01    6.19e-02    7.0e-04
 197000      1.11e+01    7.05e+00      1.49e-01    9.16e-02      4.22e-01    2.67e-01    7.0e-04
 198000      3.74e+00    1.05e+00      6.71e-02    8.81e-02      1.41e-01    3.68e-02    7.0e-04
 199000      2.16e+00    3.25e+00      9.90e-02    8.16e-02      8.14e-02    1.23e-01    7.0e-04
 200000      2.59e+00    4.21e+00      4.22e-02    1.21e+00      9.83e-02    1.56e-01    6.9e-04
 201000      1.67e+00    8.99e-01      3.09e-02    1.89e-02      6.31e-02    3.41e-02    6.9e-04
 202000      3.00e+00    8.94e+00      6.10e-02    2.89e-01      1.14e-01    3.40e-01    6.9e-04
 203000      2.58e+00    1.02e+00      8.45e-02    2.05e-02      9.76e-02    3.88e-02    6.9e-04
 204000      3.31e+00    3.97e+00      4.03e-02    6.94e-02      1.26e-01    1.51e-01    6.9e-04
 205000      2.79e+00    1.09e+00      8.28e-02    2.57e-02      1.06e-01    4.14e-02    6.8e-04
 206000      1.76e+00    5.17e+00      4.61e-02    1.45e-01      6.67e-02    1.97e-01    6.8e-04
 207000      1.66e+00    7.87e+00      3.23e-02    6.24e-03      6.35e-02    3.01e-01    6.8e-04
 208000      1.70e+00    3.02e+00      2.24e-02    8.65e-02      6.50e-02    1.15e-01    6.8e-04
 209000      3.19e+00    8.80e+00      5.56e-02    3.30e-02      1.22e-01    3.37e-01    6.8e-04
 210000      1.98e+00    5.08e+00      3.29e-02    2.15e-01      7.56e-02    1.95e-01    6.8e-04
 211000      3.26e+00    8.36e-01      6.10e-02    2.48e-02      1.25e-01    3.18e-02    6.8e-04
 212000      3.64e+00    1.12e+01      3.88e-02    2.95e-01      1.40e-01    4.30e-01    6.8e-04
 213000      3.83e+00    2.14e+00      8.03e-02    4.08e-02      1.46e-01    8.22e-02    6.8e-04
 214000      1.03e+01    9.80e-01      3.04e-01    1.59e-02      3.97e-01    3.76e-02    6.8e-04
 215000      2.08e+00    6.80e+00      4.08e-02    3.76e-02      8.02e-02    2.62e-01    6.7e-04
 216000      2.00e+00    2.34e+00      4.57e-02    5.63e-02      7.68e-02    9.01e-02    6.7e-04
 217000      1.96e+00    5.99e+00      2.53e-02    5.23e-01      7.55e-02    2.30e-01    6.7e-04
 218000      1.97e+00    8.81e-01      8.50e-02    1.85e-02      7.46e-02    3.38e-02    6.7e-04
 219000      2.53e+00    6.20e+00      7.33e-02    1.57e-01      9.75e-02    2.39e-01    6.7e-04
 220000      3.08e+00    1.78e+00      7.34e-02    3.27e-02      1.19e-01    6.89e-02    6.6e-04
 221000      3.03e+00    2.87e+00      3.86e-02    8.46e-03      1.17e-01    1.11e-01    6.6e-04
 222000      2.20e+00    4.55e+00      3.10e-02    6.33e-02      8.51e-02    1.76e-01    6.6e-04
 223000      3.03e+00    6.70e+00      6.25e-02    2.19e-01      1.17e-01    2.59e-01    6.6e-04
 224000      2.51e+00    7.19e+00      4.80e-02    2.57e-02      9.72e-02    2.79e-01    6.6e-04
 225000      2.52e+00    2.08e+00      2.28e-02    7.78e-03      9.81e-02    8.09e-02    6.6e-04
 226000      3.49e+00    1.85e+00      7.06e-02    3.18e-02      1.35e-01    7.20e-02    6.6e-04
 227000      5.30e+00    2.95e+00      1.14e-01    4.68e-03      2.05e-01    1.15e-01    6.6e-04
 228000      2.12e+00    6.35e+00      6.94e-02    3.32e-02      8.17e-02    2.47e-01    6.6e-04
 229000      1.82e+00    3.29e+00      2.33e-02    8.23e-02      7.09e-02    1.28e-01    6.6e-04
 230000      2.49e+00    1.15e+00      1.35e-01    1.81e-02      9.67e-02    4.48e-02    6.5e-04
 231000      2.06e+00    2.22e+00      2.07e-02    2.91e-02      8.07e-02    8.66e-02    6.5e-04
 232000      3.26e+00    1.89e+00      6.33e-02    4.00e-02      1.27e-01    7.34e-02    6.5e-04
 233000      2.43e+00    4.59e+00      5.47e-02    1.50e-01      9.47e-02    1.79e-01    6.5e-04
 234000      1.82e+00    4.72e+00      3.36e-02    3.28e-02      7.10e-02    1.85e-01    6.5e-04
 235000      5.77e+00    2.08e+00      1.93e-01    2.09e-03      2.25e-01    8.18e-02    6.5e-04
 236000      1.72e+00    2.46e+00      4.32e-02    4.34e-02      6.72e-02    9.63e-02    6.5e-04
 237000      4.85e+00    5.30e+00      1.31e-01    2.51e-01      1.90e-01    2.07e-01    6.5e-04
 238000      3.80e+00    6.64e+00      7.15e-02    7.98e-02      1.50e-01    2.61e-01    6.5e-04
 239000      1.82e+00    1.12e+00      4.73e-02    3.00e-02      7.12e-02    4.38e-02    6.5e-04
 240000      3.71e+00    4.74e+00      7.07e-02    4.00e-02      1.46e-01    1.87e-01    6.4e-04
 241000      1.95e+00    5.15e+00      5.78e-02    1.01e-01      7.68e-02    2.03e-01    6.4e-04
 242000      2.03e+00    2.40e+00      6.35e-02    5.03e-02      7.99e-02    9.43e-02    6.4e-04
 243000      2.80e+00    3.24e+00      2.96e-02    3.34e-02      1.11e-01    1.28e-01    6.4e-04
 244000      4.04e+00    1.06e+00      8.60e-02    3.96e-03      1.59e-01    4.21e-02    6.4e-04
 245000      7.97e+00    1.41e+00      9.74e-02    4.73e-03      3.16e-01    5.59e-02    6.3e-04
 246000      2.14e+00    2.69e+00      3.95e-02    1.58e-04      8.47e-02    1.07e-01    6.3e-04
 247000      1.37e+00    1.28e+00      2.96e-02    7.05e-03      5.41e-02    5.07e-02    6.3e-04
 248000      2.79e+00    1.19e+00      3.83e-02    8.16e-02      1.11e-01    4.69e-02    6.3e-04
 249000      7.22e+00    6.59e+00      7.10e-02    6.05e-01      2.86e-01    2.60e-01    6.3e-04
 250000      2.49e+00    1.63e+00      7.17e-02    6.98e-03      9.92e-02    6.52e-02    6.3e-04
 251000      5.48e+00    8.30e-01      1.35e-01    1.05e-02      2.18e-01    3.30e-02    6.3e-04
 252000      5.16e+00    3.75e+00      1.50e-01    1.30e-02      2.04e-01    1.49e-01    6.3e-04
 253000      2.86e+00    4.13e+00      6.37e-02    1.90e-02      1.14e-01    1.65e-01    6.3e-04
 254000      8.31e+00    7.77e+00      2.28e-01    4.22e-02      3.31e-01    3.10e-01    6.3e-04
 255000      2.41e+00    2.04e+00      3.42e-02    2.76e-02      9.63e-02    8.14e-02    6.2e-04
 256000      2.62e+00    2.87e+00      2.50e-02    1.65e-03      1.05e-01    1.15e-01    6.2e-04
 257000      4.37e+00    1.08e+00      4.76e-02    4.02e-02      1.75e-01    4.25e-02    6.2e-04
